MRT,Building,Latitude,Longitude
Jurong East MRT Station,JURONG EAST MRT STATION (EW24 / NS1),1.33315281585758,103.742286332403
Bukit Batok MRT Station,BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309
Bukit Gombak MRT Station,BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733
Choa Chu Kang MRT Station,CHOA CHU KANG MRT STATION (NS4),1.38536316540225,103.744370779756
Yew Tee MRT Station,YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236
Kranji MRT Station,KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497
Marsiling MRT Station,MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403
Woodlands MRT Station,WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173
Admiralty MRT Station,ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771
Sembawang MRT Station,SEMBAWANG MRT STATION (NS11),1.44905082158502,103.820046140211
Canberra MRT Station,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
Yishun MRT Station,YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246
Khatib MRT Station,KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243
Yio Chu Kang MRT Station,YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118
Ang Mo Kio MRT Station,ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
Bishan MRT Station,BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532
Braddell MRT Station,BRADDELL MRT STATION (NS18),1.3404690010277,103.846799083148
Toa Payoh MRT Station,TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048
Novena MRT Station,NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748
Newton MRT Station,NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021
Orchard MRT Station,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Somerset MRT Station,SOMERSET MRT STATION (NS23),1.30026416739006,103.839085753124
Dhoby Ghaut MRT Station,DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696
City Hall MRT Station,CITY HALL MRT STATION,1.29298990700923,103.852542630339
Raffles Place MRT Station,RAFFLES PLACE MRT STATION,1.28393326234538,103.851463066212
Marina Bay MRT Station,MARINA BAY MRT STATION,1.27631114381584,103.854604975361
Marina South Pier MRT Station,MARINA SOUTH PIER MRT STATION (NS28),1.27102703612006,103.862447515736
Pasir Ris MRT Station,PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763
Tampines MRT Station,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222
Simei MRT Station,SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378
Tanah Merah MRT Station,TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798
Bedok MRT Station,SUNGEI BEDOK MRT STATION (TE31 / DT37),1.32040148729112,103.957183823478
Kembangan MRT Station,KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851
Eunos MRT Station,EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255
Paya Lebar MRT Station,PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884
Aljunied MRT Station,ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385
Kallang MRT Station,KALLANG MRT STATION (EW10),1.31148890998818,103.871386541754
Lavender MRT Station,LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888
Bugis MRT Station,BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933
Tanjong Pagar MRT Station,TANJONG PAGAR MRT STATION (EW15),1.27656131737246,103.845725186759
Outram Park MRT Station,OUTRAM PARK MRT STATION,1.2802415328084,103.840052100136
Tiong Bahru MRT Station,TIONG BAHRU MRT STATION,1.28619457890544,103.826998939732
Redhill MRT Station,REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205
Queenstown MRT Station,QUEENSTOWN MRT STATION (EW19),1.29455085184931,103.806077155982
Commonwealth MRT Station,COMMONWEALTH MRT STATION (EW20),1.30250199924325,103.798228523336
Buona Vista MRT Station,BUONA VISTA MRT STATION,1.30627534823257,103.790363200126
Dover MRT Station,DOVER MRT STATION (EW22),1.31140529320963,103.778637841909
Clementi MRT Station,CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888
Chinese Garden MRT Station,CHINESE GARDEN MRT STATION (EW25),1.34235282081401,103.732596738363
Lakeside MRT Station,LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456
Boon Lay MRT Station,BOON LAY MRT STATION (EW27),1.33860405469845,103.706064622772
Pioneer MRT Station,PIONEER MRT STATION (EW28),1.33758701106708,103.697321608474
Joo Koon MRT Station,JOO KOON MRT STATION (EW29),1.3277170408447,103.678374996165
Gul Circle MRT Station,GUL CIRCLE MRT STATION (EW30),1.31947090075208,103.660530461345
Tuas Crescent MRT Station,TUAS CRESCENT MRT STATION (EW31),1.32102695598684,103.649078235627
Tuas West Road MRT Station,TUAS WEST ROAD MRT STATION (EW32),1.32998504653102,103.639616648771
Tuas Link MRT Station,TUAS LINK MRT STATION (EW33),1.34088242451105,103.636991425128
Expo MRT Station,EXPO MRT STATION (DT35),1.33538252614956,103.962374747451
Changi Airport MRT Station,CHANGI AIRPORT MRT STATION (CG2),1.35747897447692,103.98788356959
HarbourFront MRT Station,HARBOURFRONT MRT STATION (NE1 / CC29),1.26538938374901,103.821530157095
Chinatown MRT Station,CHINATOWN MRT STATION (DT19),1.28422391919085,103.845143798953
Clarke Quay MRT Station,CLARKE QUAY MRT STATION,1.28745211415803,103.846119192727
Little India MRT Station,LITTLE INDIA MRT STATION,1.30724381608438,103.849841614124
Farrer Park MRT Station,FARRER PARK MRT STATION,1.31314029963164,103.854754721344
Boon Keng MRT Station,BOON KENG MRT STATION,1.31993957653291,103.862052698446
Potong Pasir MRT Station,POTONG PASIR MRT STATION,1.33137808528793,103.869363547741
Woodleigh MRT Station,WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915
Serangoon MRT Station,SERANGOON MRT STATION (CC13),1.35063361526525,103.872771660431
Kovan MRT Station,KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353
Hougang MRT Station,HOUGANG MRT STATION (NE14),1.37129226620797,103.892380513029
Buangkok MRT Station,BUANGKOK MRT STATION (NE15),1.38287001971672,103.893122569706
Sengkang MRT Station,SENGKANG MRT STATION (NE16),1.39169462601522,103.895484694279
Punggol MRT Station,PUNGGOL COAST MRT STATION (NE18),1.41492733388605,103.910166388177
Bras Basah MRT Station,BRAS BASAH MRT STATION (CC2),1.29686168649656,103.850667371637
Esplanade MRT Station,ESPLANADE MRT STATION (CC3),1.2936577245386,103.855081226245
Promenade MRT Station,PROMENADE MRT STATION (CC4),1.29399798636232,103.860350000188
Nicoll Highway MRT Station,NICOLL HIGHWAY MRT STATION (CC5),1.29976684675139,103.86363696572
Stadium MRT Station,STADIUM MRT STATION (CC6),1.3028124684707,103.875337711089
Mountbatten MRT Station,MOUNTBATTEN MRT STATION (CC7),1.30620190525331,103.882528081052
Dakota MRT Station,DAKOTA MRT STATION (CC8),1.30854798388121,103.889064718377
MacPherson MRT Station,MACPHERSON MRT STATION (DT26),1.32615024457361,103.889298600376
Tai Seng MRT Station,TAI SENG MRT STATION (CC11),1.33514150139202,103.888389300191
Bartley MRT Station,BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184
Lorong Chuan MRT Station,LORONG CHUAN MRT STATION,1.35153128621585,103.864812169514
Marymount MRT Station,MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332
Caldecott MRT Station,CALDECOTT MRT STATION (TE9),1.33724561271722,103.840161782075
Botanic Gardens MRT Station,BOTANIC GARDENS MRT STATION,1.32238699517166,103.815385463093
Farrer Road MRT Station,FARRER ROAD MRT STATION (CC20),1.31743915158967,103.807379214161
Holland Village MRT Station,HOLLAND VILLAGE MRT STATION (CC21),1.31224029631595,103.796399122407
one-north MRT Station,ONE-NORTH MRT STATION (CC23),1.29975987493555,103.78745750525
Kent Ridge MRT Station,KENT RIDGE MRT STATION (CC24),1.29353349887123,103.784572738173
Haw Par Villa MRT Station,HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
Pasir Panjang MRT Station,PASIR PANJANG MRT STATION (CC26),1.27621352233766,103.791350313288
Labrador Park MRT Station,LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089
Telok Blangah MRT Station,TELOK BLANGAH MRT STATION (CC28),1.27070647717762,103.809761611219
Bayfront MRT Station,BAYFRONT MRT STATION (DT16 / CE1),1.28187378879209,103.859079764874
Bukit Panjang MRT Station,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
Cashew MRT Station,CASHEW MRT STATION (DT2),1.36981544925552,103.76443921414
Hillview MRT Station,HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007
Beauty World MRT Station,BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
King Albert Park MRT Station,KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233
Sixth Avenue MRT Station,SIXTH AVENUE MRT STATION (DT7),1.33085764536226,103.796906838288
Tan Kah Kee MRT Station,TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692
Stevens MRT Station,STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924
Rochor MRT Station,ROCHOR MRT STATION (DT13),1.30385218527656,103.852769428884
Downtown MRT Station,DOWNTOWN MRT STATION (DT17),1.27944638178916,103.852840829581
Telok Ayer MRT Station,TELOK AYER MRT STATION (DT18),1.28206894769394,103.848648781083
Fort Canning MRT Station,FORT CANNING MRT STATION (DT20),1.29248194822996,103.844331362465
Bencoolen MRT Station,BENCOOLEN MRT STATION (DT21),1.29891843369422,103.850353762717
Jalan Besar MRT Station,JALAN BESAR MRT STATION (DT22),1.3051713878069,103.855295713435
Bendemeer MRT Station,BENDEMEER MRT STATION (DT23),1.31367252847691,103.862977620945
Geylang Bahru MRT Station,GEYLANG BAHRU MRT STATION (DT24),1.32130110228321,103.871622627142
Mattar MRT Station,MATTAR MRT STATION (DT25),1.32687671501334,103.883247509542
Ubi MRT Station,UBI MRT STATION (DT27),1.32997425973974,103.899226655439
Kaki Bukit MRT Station,KAKI BUKIT MRT STATION (DT28),1.33496735995428,103.908459338046
Bedok North MRT Station,BEDOK NORTH MRT STATION (DT29),1.33474211664091,103.91797832995
Bedok Reservoir MRT Station,BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286
Tampines West MRT Station,TAMPINES WEST MRT STATION (DT31),1.34551530560119,103.938436971222
Tampines East MRT Station,TAMPINES EAST MRT STATION (DT33),1.35619148271544,103.9546344625
Upper Changi MRT Station,UPPER CHANGI MRT STATION (DT34),1.34173977444995,103.961472788634
